a boy playing,un garçon qui joue,노는 소년,遊んでいる少年
a cartoon animal runs through an ice cave,un animal traverse une grotte de glace dans un dessin animé,만화 동물은 얼음 동굴을 통해 실행,漫画の動物が氷の洞窟を駆け抜ける
a girl eats ice cream,une fille mange de la glace,여자 아이가 아이스크림을 먹는다,女の子がアイスクリームを食べる
a man driving a red car ,un homme conduit une voiture rouge,빨간 차를 운전하는 사람,赤い車を運転する男
a man playing football,un homme jouant au au foot,축구를하는 사람,サッカーをしている男
a man rides a car,Un homme conduit une voiture,한 남자가 차를 타다,男は車に乗る
a man with a dog,Un homme avec un chien,개를 가진 남자,犬と男
a man withdrawing money from atm,Un homme retire de l'argent d'un distributeur,현금 지급기에서 돈을 인출 한 사람,ATMからお金を引き出す人
a women wearing red dress,une femme en robe rouge,빨간 옷을 입은 여자,赤いドレスを着ている女性
add pickle,ajoutez des cornichon,피클 추가,漬物を加える
add water,ajoutez de l'eau,물을 더하다,水を加える
air conditionning,Air conditionné,에어컨,エアコン
airplane,avion,비행기,飛行機
alcohol,de l'alcool,알코올,アルコール
animal,animal,동물,動物
animal dancing,des animaux qui dansent,동물 춤,動物ダンス
apply cream on face,appliquer la crème sur le visage,얼굴에 크림을 바르십시오,顔にクリームを塗る
apply lipstick ,appliquer du rouge à lèvres,립스틱을 바르십시오,口紅を塗る
apply nail polish,mettre du vernis à ongles,매니큐어를 바른다,マニキュアを塗る
apply the glue,appliquer la colle,접착제를 적용,接着剤を塗る
assemble burger,assembler un Burger,버거 조립,バーガーを組み立てる
attach saddle horse,mettre une selle de cheval,안장 말을 부착,サドルホースを取り付ける
autonomous car,voiture autonome,자율 주행 차,自動運転車
autonomous vehicle,véhicule autonome,자율 주행 차,自動運転車
avocado sandwich,sandwich à l'avocat,아보카도 샌드위치,アボカドサンドイッチ
baby crying,bébé qui pleure,우는 아기,泣いている赤ちゃん
bake a cake,faire cuire un gâteau,케이크를 굽다,ケーキを焼く
bake pie,faire cuire une tarte,파이를 굽다,パイを焼く
ball bouncing by the cat,balle qui rebondit par le chat,고양이가 튀는 공,猫に跳ね返るボール
barbecue pork rib,Côte de porc au barbecue,바베큐 돼지 갈비,バーベキューポークリブ
batteries aa,piles aa,배터리 AA,バッテリー単3
beach,plage,바닷가,ビーチ
beach wave,vague,해변 파도,ビーチ波
bear in the wild,ours dans la nature,야생 곰,野生のクマ
beautiful landscape,beau paysage,아름다운 풍경,美しい風景
bike accident,accident de vélo,자전거 사고,自転車事故
bike brake fixing,réparation de frein de vélo,자전거 브레이크 고정,自転車ブレーキ固定
Bike fixing,réparation de vélo,자전거 고정,自転車固定
bike wheel,roue de velo,자전거 바퀴,自転車の車輪
bird,oiseau,새,鳥
bird origami,origami d'oiseau,새 종이 접기,鳥の折り紙
bird pecking at wood,oiseau picorant du bois,나무에서 쪼아 새,木をつつく鳥
black tea,thé noir,홍차,紅茶
blend strawberries,mixer des fraises,블렌드 딸기,いちごをブレンド
blond hair,cheveux blonds,금발,金髪
blow hair,sécher les cheveux,머리를 날려,ブローヘア
blue purse,sac à main bleu,파란색 지갑,青い財布
boat,bateau,보트,ボート
bowl,bol,사발,ボウル
boy dancing,garçon qui danse,소년 춤,踊る少年
brew coffee,moudre du café,양조 커피,醸造コーヒー
broom hair,faire un balayage de cheveux,빗자루 머리,ほうきの毛
browsing the internet,naviguer sur internet,인터넷 브라우징,インターネットの閲覧
brushing teeth,brosser les dents,양치질,歯磨き
brusht teeth,se laver les dents,양치질,歯ブラシ
build a bed,construire un lit,침대를 만들다,ベッドを作る
build a fan,fabriquer un ventilateur,팬을 만들다,ファンを作ります
build a shelve,assembler un meuble,선반을 쌓다,棚を作る
build a small garden,construire un petit jardin,작은 정원을 짓다,小さな庭を建てる
build trampoline,construire un trampoline,트램폴린을 짓다,トランポリンを構築
building a house,construire une maison,집을 짓다,家を建てる
burn tree,brûler un arbre,화상 나무,木を燃やす
butter,beurre,버터,バター
cake,gâteau,케이크,ケーキ
camel,chameau,낙다,キャメル
camera,appreil photo,카메라,カメラ
candy,bonbons,사탕,キャンディー
car,voiture,차,車
car jump,saut de voiture,차 점프,車のジャンプ
car wheel,roue de voiture,자동차 바퀴,車のホイール
carrot,carotte,당근,にんじん
carve pumpkin,tailler une citrouille,호박을 개척하다,かぼちゃを彫る
cat in a bed,chat dans un lit,침대에서 고양이,ベッドの猫
cat meowing,chat qui miaule,고양이 야옹,猫の鳴き声
catch a fish,pecher un poisson,물고기를 잡다,魚を捕まえる
change a tire,changer une roue,타이어를 바꾸다,タイヤを交換する
change bike tire,changer un pneu de vélo,자전거 타이어 교체,自転車のタイヤを交換する
change car wheel,changer la roue de la voiture,자동차 바퀴를 바꾸다,車のホイールを変更する
change mattress,changer le matelas,매트리스 교체,マットレスを変える
change tier,changer de niveau,계층 변경,ティアを変更
change washer filter,changer le filtre de la laveuse,세탁기 필터 교체,ワッシャーフィルターの交換
charge tesla,charger tesla,테슬라 충전,充電テスラ
charging phone,recharcher son téléphone,전화 충전,充電中の電話
check balance,vérifier le solde,잔액 확인,バランスチェック
check blood pressure,vérifier la pression artérielle,혈압 점검,血圧をチェックする
check oil level,vérifier le niveau d'huile,오일 량 점검,オイルレベルを確認する
check voltage,vérifier la tension,전압 확인,電圧を確認してください
cheese,fromage,치즈,チーズ
chicken,poulet,치킨,チキン
chinese food,nourriture chinoise,중국 음식,中華料理
chinese noodle,nouille chinoise,중국 국수,中華麺
chinese poetry,poésie chinoise,중국시,漢詩
chocolate,Chocolat,초콜릿,チョコレート
chop finely,hacher finement,잘게 썰다,細かく刻む
chop roughly,hacher grossièrement,대충 자르다,大ざっぱに切る
chop the onion,hacher l'oignon,양파를 자르다,タマネギを切る
christmas tree,Sapin de Noël,크리스마스 트리,クリスマスツリー
clams,palourdes,조개,二枚貝
clap hand,taper des mains,박수,拍手
clean home,nettoyer la maison,깨끗한 집,きれいな家
clean table,nettoyer la table,깨끗한 테이블,きれいなテーブル
cleaning the window,laver les carreaux,창 청소,窓の掃除
climbing,escalade,등산,クライミング
close bottle,fermer la bouteille,병을 닫으십시오,ボトルを閉じる
close door,ferme la porte,문을 닫다,ドアを閉める
clouds,des nuages,구름,雲
coffee,café,커피,コーヒー
coloring and drawing,coloriage et dessin,채색 및 그림,着色と描画
computer mouse,souris d'ordinateur,컴퓨터 마우스,コンピューターのマウス
conduct a car,conduire une voiture,차를 운전하다,車を運転する
cook bacon,faire cuire le bacon,쿡 베이컨,クックベーコン
cook cake,cuire un gateau,요리사 케이크,クックケーキ
cook carrot,cuire une carotte,당근 요리,にんじんを調理する
cook chicken,faire cuire le poulet,치킨 요리,鶏肉を調理する
cook fish,faire cuire du poisson,생선 요리,魚料理
cook lobster,faire cuire le homard,랍스터 요리하다,クックロブスター
cook omellete,faire une omelette,요리하다,オムレテ料理
cook pasta,faire cuire des pâtes,쿡 파스타,パスタを調理する
cook rice,faire cuire du riz,밥을 짓다,ご飯を作ります
cook salmon,cuire le saumon,연어 요리,サーモンを調理する
cook steak,cuire le steak,쿡 스테이크,クックステーキ
cover holes in the wall,remplir les trous dans le mur,벽의 구멍을 덮다,壁の穴を塞ぐ
crack egg,casser un oeuf,계란을 깨다,卵を割る
crafts,artisanat,공예,工芸
crowd of people,foule de gens,사람들의 군중,群衆
curry,curry,카레,カレー
cut apple,couper une pomme,사과를 자르다,リンゴを切る
cut banana,couper la banane,바나나를 자르다,バナナを切る
cut cardboard,couper du carton,골판지,段ボールを切る
cut carrot,couper la carotte,당근을 잘라,にんじんを切る
cut cheese,couper du fromage,치즈를 잘라,カットチーズ
cut fish,couper du poisson,생선을 자르다,魚を切る
cut hair with scissor,couper les cheveux avec des ciseaux,가위로 머리를 자르다,はさみで髪を切る
cut in circle,coupé en cercle,원을 자르다,円を描く
cut kimchi,couper le kimchi,김치를 자르다,キムチを切る
cut meat,viande coupée,고기를 자르다,肉を切る
cut nails,couper les ongles,손톱을 자르다,爪を切る
cut onion,couper l'oignon,양파를 자르다,玉ねぎを切る
cut orange,couper l'orange,오렌지를 자르다,オレンジカット
cut paper,couper du papier,종이를 자르다,カット紙
cut paper in circle,couper le papier en cercle,종이를 원으로 자르다,円で紙を切る
cut paper in square,couper du papier en carré,정사각형으로 종이를 자르다,正方形に紙を切る
cut paper in triangle,couper du papier en triangle,삼각형으로 종이를 자르다,三角形の紙を切る
cut pineapple,couper l'ananas,파인애플을 자르다,パイナップルを切る
cut pizza,couper la pizza,피자를 자르다,ピザを切る
cut plant,couper plante,식물을 자르다,切り株
cut plant using scisor,couper la plante à l'aide d'un ciseau,가위로 식물을 자르다,はさみを使用して植物をカット
cut plant with knife,couper la plante avec un couteau,칼로 식물을 자르다,ナイフで植物を切る
cut salmon,couper le saumon,연어를 자르다,cutを切る
cut square,couper carré,정사각형을 자르다,カットスクエア
cut tomato,tomates coupées,토마토를 잘라,カットトマト
cut tree,couper un arbre,나무를 자르다,木を切る
