able,capable,할 수 있는,できる
about,sur,약,約
absolute,absolu,순수한,絶対の
accept,Acceptez,수락,受け入れる
account,Compte,계정,アカウント
achieve,atteindre,이루다,達成する
act,acte,행위,行為
active,actif,유효한,アクティブ
actual,réel,실제,実際の
add,ajouter,더하다,加える
address,adresse,주소,住所
admit,admettre,들이다,認める
advertise,afficher,공시 하다,広告する
affect,affecter,감정,影響する
afford,offrir,여유,余裕がある
after,après,후,後
again,encore,다시,再び
against,contre,에 대하여,に対して
age,âge,나이,年齢
agent,agent,에이전트,エージェント
ago,depuis,...전에,前
agree,se mettre d'accord,동의하다,同意する
allow,permettre,허락하다,許す
all,tout,모든,すべて
almost,presque,거의,ほぼ
already,déjà,이미,既に
alright,bien,다 좋아,大丈夫
also,également,또한,また
although,bien que,이기는 하지만,でも
always,toujours,항상,常に
America,Amérique,미국,アメリカ
and,et,과,そして
another,un autre,다른,別の
answer,réponse,대답,回答
any,tout,어떤,どれか
apparent,apparent,명백한,見かけ上
appear,apparaître,나타나다,現れる
appoint,nommer,정하다,任命する
approach,approche,접근,アプローチ
appropriate,approprié,적당한,適切な
argue,se disputer,논하다,議論する
as,comme,같이,として
associate,associer,동무,準ずる
assume,assumer,취하다,想定する
at,à,...에서,で
attend,assister,참석하다,出席する
a,une,에이,a
authority,autorité,권위,権限
available,disponible,유효한,利用可能
aware,conscient,인식,承知して
away,une façon,떨어져,離れて
awful,terrible,무서운,ひどい
bad,mal,나쁜,悪い
base,base,베이스,ベース
basis,base,기초,基礎
beat,battre,박자,ビート
because,parce que,때문에,なぜなら
become,devenir,지다,なる
be,être,있다,なる
begin,commencer,시작하다,ベギン
believe,croyez,믿다,信じる
benefit,avantage,이익,恩恵
best,meilleur,베스트,ベスト
bet,pari,내기,ベット
bill,facture,계산서,ビル
birth,naissance,출생,誕生
bit,bit,비트,ビット
board,planche,판,ボード
bother,déranger,귀찮음,わざわざ
budget,budget,예산,予算
but,mais,그러나,しかし
by,par,으로,によって
can,pouvez,양철통,できる
care,se soucier,케어,ケア
cause,cause,원인,原因
cent,cent,센트,セント
certain,certain,어떤,確かな
chairman,président,의장,会長
chance,chance,기회,チャンス
chap,type,녀석,チャップ
charge,charge,요금,電荷
check,vérifier,검사,チェック
choice,choix,선택,選択
choose,choisir,고르다,選ぶ
Christ,Christ,그리스도,キリスト
Christmas,Noël,크리스마스,クリスマス
claim,prétendre,청구,請求
closes,se ferme,마감,閉じます
clothe,vêtir,덮다,服を着る
come,viens,왔다,来て
comment,commentaire,논평,コメント
commit,commettre,범하다,コミット
committee,Comité,위원회,委員会
concern,préoccupation,관심사,懸念
confer,conférer,봉하다,与える
consider,considérer,중히 여기다,考える
consult,consulter,찾다,相談する
correct,correct,옳은,正しい
cost,Coût,비용,コスト
could,pourrait,할 수 있었다,できた
country,pays,국가,国
county,comté,군,郡
course,cours,코스,コース
court,tribunal,법정,裁判所
create,créer,몹시 떠들어 대다,作成する
current,actuel,흐름,現在
danger,danger,위험,危険
date,rendez-vous amoureux,날짜,日付
deal,traiter,거래,対処
dear,chère,소중한,親愛な
decide,décider,결정하다,決めます
decision,décision,결정,決定
deep,Profond,깊은,深い
definite,précis,명확한,明確な
degree,diplôme,정도,度
depend,dépendre,의존하다,依存する
die,mourir,주사위,死ぬ
difference,différence,차,差
difficult,difficile,어려운,難しい
direct,direct,곧장,直接
discuss,discuter,즐기며 먹다,話し合います
district,district,지구,地区
doubt,doute,의심,疑問に思う
due,dû,정당한,期限
during,pendant,...동안,中に
each,chaque,마다,各
east,est,동쪽,東
easy,facile,쉬운,かんたん
economy,économie,경제,経済
effect,effet,효과,効果
either,non plus,어느 한 쪽,どちらか
elect,élire,선택된,選出する
else,autre,그밖에,他に
employ,employer,고용,雇う
encourage,encourager,북돋우다,奨励します
English,Anglais,영어,英語
enough,suffisant,충분히,十分な
especial,particulier,특별한,特別な
Europe,L'Europe ,유럽,ヨーロッパ
ever,déjà,이제까지,今まで
every,chaque,...마다,毎回
evidence,preuve,증거,証拠
exact,exact,정확한,正確な
except,sauf,외,を除く
excuse,excuse,변명,言い訳
