across,à travers,건너서,に渡って
afternoon,après midi,대낮,午後
air,air,공기,空気
along,le long de,...을 따라서,に沿って
amount,montant,양,量
apart,une part,떨어져서,離れて
apply,appliquer,대다,適用する
area,surface,지역,エリア
arm,bras,팔,腕
around,autour,약...,周り
arrange,organiser,붙이다,アレンジ
art,art,미술,アート
ask,demander,청하다,尋ねる
baby,bébé,아가,赤ちゃん
back,retour,뒤로,バック
bag,sac,가방,バッグ
balance,équilibre,균형,バランス
ball,ballon,공,玉
bank,banque,은행,バンク
bar,bar,바,バー
bear,ours,곰,くま
beauty,beauté,아름다움,美人
bed,lit,침대,ベッド
before,avant,전에,前
behind,derrière,뒤에,後ろに
between,entre,중에서,の間に
big,gros,큰,大きい
black,noir,검은,黒
bloke,type,놈,やつ
blood,du sang,피,血液
blow,coup,타격,ブロー
blue,bleu,푸른,青
boat,bateau,보트,ボート
body,corps,몸,体
book,livre,책,本
both,tous les deux,양자 모두,両方
bottle,bouteille,병,ボトル
bottom,bas,바닥,底
box,boîte,상자,ボックス
boy,garçon,소년,男の子
break,Pause,단절,ブレーク
brief,bref,간결한,簡潔な
brilliant,brillant,훌륭한,ブリリアント
bring,apporter,가져오다,持参
Britain,Bretagne,영국,英国
brother,frère,동료,兄
build,construire,짓다,建てる
bus,autobus,버스,バス
business,Entreprise,사업,ビジネス
busy,occupé,바쁜,忙しい
buy,acheter,사다,購入
cake,gâteau,케이크,ケーキ
call,appel,요구,コール
car,voiture,차,車
card,carte,카드,カード
carry,porter,나르다,キャリー
case,Cas,케이스,場合
cat,chat,고양이,ネコ
catch,capture,잡기,キャッチ
centre,centre,센터,センター
chair,chaise,의자,椅子
change,changement,변화,変化する
character,personnage,캐릭터,キャラクター
cheap,pas cher,싼,安いです
child,enfant,어린이,子
church,église,교회에,教会
city,ville,시티,シティ
class,classe,수업,クラス
clean,nettoyer,깨끗한,クリーン
clear,clair,명확한,クリア
client,client,고객,クライアント
clock,l'horloge,시계,クロック
close,Fermer,닫기,閉じる
club,club,클럽,クラブ
coffee,café,커피,コーヒー
cold,du froid,감기,コールド
colleague,collègue,동료,同僚
collect,collecte,수집,集める
college,Université,칼리지,カレッジ
colour,Couleur,색깔,色
common,commun,공유지,一般
community,communauté,커뮤니티,コミュニティ
company,entreprise,회사,会社
compare,comparer,비교,比べる
complete,Achevée,완전한,コンプリート
compute,calculer,계산하다,計算する
condition,état,조건,調子
contact,contact,접촉,接触
continue,continuer,잇다,持続する
contract,Contrat,계약,契約する
control,contrôle,제어,コントロール
converse,converser,반대,逆
cook,cuisinier,쿡,クック
copy,copie,부,コピー
corner,coin,모서리,コーナー
council,conseil,이사회,評議会
count,compter,카운트,カウント
couple,couple,두,カップル
cover,couverture,덮개,カバー
cross,traverser,십자가,クロス
cup,tasse,컵,カップ
cut,Couper,절단,カット
dad,papa,아빠,パパ
day,journée,일,日
dead,morte,죽은,デッド
debate,débat,토론,ディベート
department,département,학과,部門
describe,décrire,묘사하다,記述する
design,conception,디자인,設計
detail,détail,세부 묘사,細部
develop,développer,나타나게 하다,開発する
dinner,dîner,공식 만찬,ディナー
divide,diviser,분할,割る
do,faire,해야 할 것,行う
doctor,médecin,의사,医師
document,document,문서,資料
dog,chien,개,犬
door,porte,문,ドア
double,double,더블,ダブル
down,vers le bas,내려가는,ダウン
draw,dessiner,무승부,ドロー
dress,robe,드레스,ドレス
drink,boisson,음주,ドリンク
drive,conduire,드라이브,ドライブ
drop,laissez tomber,하락,ドロップ
dry,sec,마른,ドライ
early,de bonne heure,이른,早い
eat,manger,먹다,食べる
educate,éduquer,기르다,教育する
egg,Oeuf,계란,卵
eight,huit,여덟,8
electric,électrique,전기 같은,電気の
eleven,Onze,열한,十一
end,fin,종료,終わり
engine,moteur,엔진,エンジン
enjoy,prendre plaisir,즐겨,楽しい
enter,entrer,들어가다,入る
environment,environnement,환경,環境
equal,égal,같은,等しい
even,même,조차,でも
evening,soir,저녁,イブニング
example,Exemple,예,例
exercise,exercice,운동,運動
eye,œil,눈,眼
face,visage,얼굴,面
fall,tomber,가을,秋
family,famille,가족,家族
farm,ferme,농장,ファーム
